City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
64,Mangaratiba,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
67,Bluff,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
69,Victoria,HK,76.32,light rain,22.2855,114.1577,Mini Hotel Central
70,Saint George,US,64.87,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
71,Hermanus,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,Mataura,PF,75.47,few clouds,-23.1203,-134.9692,People ThankYou
74,Vila Velha,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
76,Katobu,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
78,Barrow,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Kruisfontein,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
80,Piet Retief,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
83,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
84,Constitucion,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
85,Coralville,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
86,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
87,Katsuura,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
89,Rosarito,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
90,Itaituba,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
91,Coalcoman,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
92,Leiva,CO,69.21,light rain,1.9339,-77.3025,HOTEL LEIVA
93,Port Victoria,KE,70.3,overcast clouds,0.0939,33.9756,Homepark motel
95,Hobyo,SO,78.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
96,Kodiak,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Kemise,ET,64.54,few clouds,10.7167,39.8667,Hussen Endris
99,Port Elizabeth,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
